Order_ID,Customer_Name,City,Category,Product_Name,Quantity,Price,Discount_Percent,Payment_Method,Order_Date,Total_Amount
1,Ashley,Barishal,Clothing,Why,1,389,10,Card,2025-01-29,350.1
2,Brenda,Khulna,Electronics,Walk,5,54,20,Cash,2025-01-27,216.0
3,William,Rajshahi,Electronics,Blue,2,129,20,Card,2025-01-24,206.4
4,Troy,Rajshahi,Books,Free,4,122,15,Cash,2025-05-20,414.8
5,Jacqueline,Barishal,Clothing,Store,4,184,10,Bkash,2025-02-10,662.4
6,Tyler,Chittagong,Books,Will,1,204,0,Bkash,2025-01-27,204.0
7,Catherine,Khulna,Electronics,Name,4,284,0,Bkash,2025-01-12,1136.0
8,Natasha,Dhaka,Clothing,Mission,5,108,0,Bkash,2025-04-03,540.0
9,Dawn,Khulna,Books,Very,2,453,0,Nagad,2025-01-21,906.0
10,Daniel,Barishal,Books,Two,2,199,10,Cash,2025-04-04,358.2
11,Paige,Barishal,Home,Also,5,383,5,Nagad,2025-02-13,1819.25
12,William,Dhaka,Clothing,Offer,5,122,10,Cash,2025-03-11,549.0
13,Andrea,Barishal,Sports,Talk,4,147,0,Bkash,2025-03-22,588.0
14,Susan,Barishal,Books,Soon,4,212,15,Card,2025-02-24,720.8
15,Joseph,Rajshahi,Home,If,5,285,10,Nagad,2025-03-05,1282.5
16,Taylor,Khulna,Electronics,Hit,2,80,20,Cash,2025-04-03,128.0
17,Stephanie,Khulna,Sports,Fund,2,331,5,Cash,2025-01-29,628.9
18,Melissa,Rajshahi,Books,Fund,4,315,15,Cash,2025-04-09,1071.0
19,Jacob,Chittagong,Electronics,Security,5,394,10,Bkash,2025-01-30,1773.0
20,Karen,Chittagong,Sports,Surface,2,242,0,Card,2025-04-22,484.0
21,Chad,Rajshahi,Sports,Station,1,455,10,Card,2025-05-10,409.5
22,Michael,Rajshahi,Sports,Camera,3,400,5,Cash,2025-02-09,1140.0
23,Steven,Chittagong,Books,Show,4,19,0,Card,2025-03-24,76.0
24,Thomas,Dhaka,Electronics,Use,2,459,20,Nagad,2025-01-15,734.4
25,Lisa,Barishal,Home,How,5,402,5,Card,2025-01-18,1909.5
26,Jessica,Khulna,Clothing,Forward,5,456,20,Card,2025-03-09,1824.0
27,Allison,Khulna,Sports,Value,4,353,10,Nagad,2025-03-21,1270.8
28,Jonathan,Chittagong,Electronics,Company,2,125,0,Card,2025-01-31,250.0
29,Robert,Barishal,Electronics,Good,1,46,0,Cash,2025-02-26,46.0
30,Stephanie,Chittagong,Home,Pass,1,273,5,Card,2025-03-26,259.35
31,Leslie,Rajshahi,Home,Great,2,380,20,Card,2025-05-19,608.0
32,Tabitha,Dhaka,Home,Line,4,107,0,Bkash,2025-05-02,428.0
33,Spencer,Dhaka,Electronics,Always,4,249,0,Nagad,2025-04-19,996.0
34,Peter,Barishal,Sports,Later,1,137,5,Nagad,2025-03-28,130.15
35,Brandon,Khulna,Clothing,Issue,4,103,10,Cash,2025-02-05,370.8
36,Misty,Rajshahi,Electronics,Position,5,60,0,Cash,2025-04-24,300.0
37,Jerry,Khulna,Clothing,Face,2,218,15,Nagad,2025-03-02,370.6
38,Kimberly,Khulna,Books,Purpose,2,204,0,Nagad,2025-01-16,408.0
39,Daniel,Khulna,Clothing,Power,4,366,20,Card,2025-03-15,1171.2
40,Andrea,Rajshahi,Electronics,Near,2,39,20,Bkash,2025-03-17,62.4
41,Edward,Rajshahi,Sports,Cultural,1,309,15,Card,2025-01-15,262.65
42,Alicia,Dhaka,Sports,Will,5,51,5,Cash,2025-01-15,242.25
43,Wanda,Barishal,Sports,Kind,4,71,20,Cash,2025-03-02,227.2
44,Sarah,Rajshahi,Sports,Him,4,346,20,Bkash,2025-01-21,1107.2
45,Laurie,Barishal,Books,Laugh,2,352,10,Nagad,2025-03-08,633.6
46,Ashley,Dhaka,Electronics,Third,3,244,10,Nagad,2025-02-03,658.8
47,Michael,Rajshahi,Books,Attorney,1,285,5,Card,2025-01-26,270.75
48,Michael,Chittagong,Books,He,1,460,5,Card,2025-03-31,437.0
49,Matthew,Rajshahi,Sports,Serve,5,370,10,Cash,2025-04-23,1665.0
50,John,Chittagong,Electronics,Economy,1,490,5,Cash,2025-03-18,465.5
51,Evelyn,Barishal,Books,Series,3,154,20,Card,2025-02-09,369.6
52,Robert,Dhaka,Electronics,Almost,5,260,10,Nagad,2025-03-09,1170.0
53,Angela,Barishal,Books,Future,1,11,10,Card,2025-03-12,9.9
54,April,Rajshahi,Electronics,Street,5,371,15,Cash,2025-04-24,1576.75
55,Stephanie,Chittagong,Sports,Section,2,289,0,Card,2025-01-20,578.0
56,Jennifer,Chittagong,Electronics,A,2,31,10,Bkash,2025-04-21,55.8
57,Justin,Chittagong,Sports,Claim,2,351,0,Nagad,2025-02-23,702.0
58,Melissa,Barishal,Home,Method,2,452,5,Cash,2025-02-09,858.8
59,Christopher,Barishal,Books,Special,3,410,15,Card,2025-02-15,1045.5
60,Sean,Khulna,Clothing,Again,4,456,0,Card,2025-01-28,1824.0
61,Donna,Barishal,Electronics,Realize,3,166,5,Card,2025-04-28,473.1
62,Jeffrey,Chittagong,Books,Pass,3,152,0,Nagad,2025-04-13,456.0
63,Zachary,Dhaka,Books,Cell,3,490,0,Card,2025-05-18,1470.0
64,Jason,Khulna,Books,Responsibility,1,65,20,Bkash,2025-03-09,52.0
65,Donald,Khulna,Sports,Agent,5,271,0,Card,2025-04-22,1355.0
66,Lauren,Dhaka,Sports,Large,1,372,15,Card,2025-03-07,316.2
67,Megan,Rajshahi,Books,Fact,4,45,10,Cash,2025-04-04,162.0
68,Michael,Chittagong,Home,Change,5,168,15,Bkash,2025-03-18,714.0
69,Richard,Barishal,Sports,Effort,2,225,15,Bkash,2025-02-02,382.5
70,John,Chittagong,Books,Call,5,436,0,Card,2025-04-14,2180.0
71,Elizabeth,Khulna,Home,Population,5,320,10,Nagad,2025-04-21,1440.0
72,Juan,Dhaka,Books,Across,5,252,5,Bkash,2025-02-24,1197.0
73,Eric,Barishal,Clothing,State,2,354,10,Card,2025-01-24,637.2
74,Lynn,Rajshahi,Electronics,Time,1,135,15,Nagad,2025-01-07,114.75
75,Alexandra,Khulna,Home,Significant,5,109,15,Card,2025-04-17,463.25
76,Michael,Khulna,Clothing,Weight,1,467,0,Card,2025-02-07,467.0
77,Melissa,Barishal,Electronics,Stand,4,35,20,Nagad,2025-05-13,112.0
78,James,Rajshahi,Sports,Would,4,351,20,Bkash,2025-02-04,1123.2
79,Paul,Khulna,Sports,Anyone,5,427,20,Nagad,2025-04-24,1708.0
80,Andrew,Barishal,Books,Condition,4,240,10,Nagad,2025-02-10,864.0
81,Shawn,Chittagong,Clothing,Modern,3,235,0,Bkash,2025-03-03,705.0
82,Amanda,Dhaka,Clothing,Across,3,467,20,Card,2025-03-27,1120.8
83,Donald,Barishal,Electronics,Think,4,365,5,Nagad,2025-03-01,1387.0
84,Taylor,Khulna,Electronics,Step,3,287,15,Card,2025-04-15,731.85
85,Dustin,Dhaka,Sports,Animal,4,473,20,Nagad,2025-04-18,1513.6
86,Austin,Chittagong,Home,Civil,1,492,10,Nagad,2025-05-03,442.8
87,Deborah,Barishal,Home,Brother,5,419,20,Card,2025-05-18,1676.0
88,John,Khulna,Books,Wrong,4,258,0,Nagad,2025-03-11,1032.0
89,Michael,Rajshahi,Sports,Hard,4,480,5,Cash,2025-02-12,1824.0
90,Samuel,Dhaka,Home,Return,5,298,0,Card,2025-04-11,1490.0
91,Michael,Khulna,Books,Measure,2,35,10,Card,2025-04-29,63.0
92,Beth,Chittagong,Home,Yard,3,182,15,Bkash,2025-04-27,464.1
93,Todd,Dhaka,Books,Agree,4,19,20,Card,2025-01-21,60.8
94,Gregory,Barishal,Clothing,First,1,396,0,Cash,2025-01-18,396.0
95,Marcus,Dhaka,Sports,Order,2,74,15,Card,2025-02-09,125.8
